report_id,ip_id,ip,reputation,pulses,earliest_pulses_datetime,total_malwares,earliest_malware_datetime,recentmost_malware_datetime,total_urls,earliest_url_datetime,recentmost_url_datetime
1095,276,79.143.178.30,0,0,NA,5,2016-05-05,2019-07-16,9,2013-03-09,2021-10-22
1095,277,216.40.219.141,0,0,NA,43,2019-08-07,2021-11-02,5,2012-06-23,2013-03-09
1122,278,70.85.221.10,0,4,2015-04-24,4,2018-09-07,2020-11-17,22,2016-04-21,2018-01-12
1150,279,77.221.133.172,0,0,NA,2,2015-02-04,2018-02-10,14,2013-04-17,2019-11-02
1153,280,85.255.119.242,0,0,NA,123,2020-09-17,2022-06-25,146,2019-01-11,2019-07-28
1199,281,222.89.98.219,0,1,2020-07-05,0,NA,NA,2,2020-08-02,2020-08-02
1202,282,122.70.145.184,0,0,NA,0,NA,NA,18,2012-08-28,2021-10-22
1245,283,115.47.18.252,0,0,NA,87,2020-03-01,2020-03-21,40,2018-04-23,2020-06-09
1281,284,142.45.185.8,0,0,NA,0,NA,NA,0,NA,NA
1285,285,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1285,286,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1286,287,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1286,288,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1290,289,142.45.183.2,0,0,NA,0,NA,NA,0,NA,NA
1290,290,142.45.183.239,0,0,NA,0,NA,NA,0,NA,NA
1290,291,142.45.183.241,0,0,NA,0,NA,NA,0,NA,NA
1290,292,142.45.183.244,0,0,NA,0,NA,NA,0,NA,NA
1290,293,142.45.183.248,0,0,NA,0,NA,NA,0,NA,NA
1290,294,142.45.183.249,0,0,NA,0,NA,NA,0,NA,NA
1290,295,142.45.183.252,0,0,NA,0,NA,NA,0,NA,NA
1290,296,142.45.183.254,0,0,NA,0,NA,NA,0,NA,NA
1290,297,142.45.183.3,0,0,NA,0,NA,NA,0,NA,NA
1290,298,142.45.183.7,0,0,NA,0,NA,NA,0,NA,NA
1290,299,142.45.183.8,0,0,NA,0,NA,NA,0,NA,NA
1290,300,142.45.184.1,0,0,NA,0,NA,NA,0,NA,NA
1290,301,142.45.184.10,0,0,NA,0,NA,NA,0,NA,NA
1290,302,142.45.184.12,0,0,NA,0,NA,NA,0,NA,NA
1290,303,142.45.184.240,0,0,NA,0,NA,NA,0,NA,NA
1290,304,142.45.184.243,0,0,NA,0,NA,NA,0,NA,NA
1290,305,142.45.184.248,0,0,NA,0,NA,NA,0,NA,NA
1290,306,142.45.184.253,0,0,NA,0,NA,NA,0,NA,NA
1290,307,142.45.184.254,0,0,NA,0,NA,NA,0,NA,NA
1290,308,142.45.184.3,0,0,NA,0,NA,NA,0,NA,NA
1290,309,142.45.184.4,0,0,NA,0,NA,NA,0,NA,NA
1290,310,142.45.184.5,0,0,NA,0,NA,NA,0,NA,NA
1290,311,142.45.185.10,0,0,NA,0,NA,NA,0,NA,NA
1290,312,142.45.185.11,0,0,NA,0,NA,NA,0,NA,NA
1290,313,142.45.185.12,0,0,NA,0,NA,NA,0,NA,NA
1290,314,142.45.185.13,0,0,NA,0,NA,NA,0,NA,NA
1290,315,142.45.185.251,0,0,NA,0,NA,NA,0,NA,NA
1290,316,142.45.185.252,0,0,NA,0,NA,NA,0,NA,NA
1290,318,142.45.185.9,0,0,NA,0,NA,NA,0,NA,NA
1290,319,142.45.186.11,0,0,NA,0,NA,NA,0,NA,NA
1290,320,142.45.186.13,0,0,NA,0,NA,NA,0,NA,NA
1290,321,142.45.186.2,0,0,NA,0,NA,NA,0,NA,NA
1290,322,142.45.186.241,0,0,NA,1,2021-03-26,2021-03-26,0,NA,NA
1290,323,142.45.186.243,0,0,NA,0,NA,NA,0,NA,NA
1290,324,142.45.186.245,0,0,NA,0,NA,NA,0,NA,NA
1290,325,142.45.186.252,0,0,NA,0,NA,NA,0,NA,NA
1290,326,142.45.186.253,0,0,NA,0,NA,NA,0,NA,NA
1290,327,142.45.186.254,0,0,NA,0,NA,NA,0,NA,NA
1290,328,174.37.200.82,0,0,NA,0,NA,NA,2,2012-08-25,2017-10-29
1290,329,239.160.147.53,0,0,NA,0,NA,NA,0,NA,NA
